store_name,address,newAddress
마리오아울렛점,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층  ,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층
현대자동차남양연구소점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F  ,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F
서초뱅뱅사거리점,"서울시 서초구 강남대로 267 2,3층  ","서울특별시 서초구 강남대로 267 2,3층"
현대자동차성내점,"서울시 강동구 천호대로 1096 1,2F  ","서울특별시 강동구 천호대로 1096 1,2F"
수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층   ,경기도 수원시 팔달구 권광로 195 학산빌딩1층
일산원마운트점,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층  ,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층
남양연구소C1식당점,경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F  ,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층  ,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층
압구정현대아파트점,서울시 강남구 압구정로29길65 지하1층  ,서울특별시 강남구 압구정로29길65 지하1층
역삼역4번출구점,서울시 강남구 테헤란로143 고운빌딩1층  ,서울특별시 강남구 테헤란로143 고운빌딩1층
부평문화의거리점,"인천광역시 부평구 시장로29 1,2층  ","인천광역시 부평구 시장로29 1,2층"
강남대로센터점,서울시 강남구 강남대로442 흥국화재빌딩 2층   ,서울특별시 강남구 강남대로442 흥국화재빌딩 2층
구로G-ValleyMall,서울시 구로구 디지털로300 지밸리비즈플라자 2층  ,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층
내방역7번출구유중아트점,서울시 서초구 방배로178 유중아트센터1층  ,서울특별시 서초구 방배로178 유중아트센터1층
도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층  ,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층
타임스퀘어점,서울시 영등포구 영중로15 타임스퀘어 1층  ,서울특별시 영등포구 영중로15 타임스퀘어 1층
차병원사거리점,서울시 강남구 봉은사로207 KJ타워1층  ,서울특별시 강남구 봉은사로207 KJ타워1층
파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층  ,서울특별시 강남구 테헤란로521 파르나스몰 지하1층
광화문역1번출구점,서울시 종로구 새문안로5가길 7 1층 일부  ,서울특별시 종로구 새문안로5가길 7 1층 일부
남양연구소PT동점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층  ,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층
현대프리미엄아울렛김포점,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호  ,경기도 김포시 고촌읍 아라육로 152번길 100 현대프리미엄아울렛 WEST 3층 618호
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층  ,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층
이태원제일기획옆점,서울시 용산구 이태원로220(한남동) 1층  ,서울특별시 용산구 이태원로220(한남동) 1층
강남역세계빌딩점,서울시 서초구 서초대로73길12 세계빌딩1층   ,서울특별시 서초구 서초대로73길12 세계빌딩1층
광교아브뉴프랑점,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호   ","경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호"
광장동대한제지점,서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층  ,서울특별시 광진구 아차산로563(광장동) 대한제지빌딩 로비층
신천역점,서울시 송파구 올림픽로100 효창타워1층  ,서울특별시 송파구 올림픽로100 효창타워1층
인천공항탑승동130gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57  ,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57
