store_name,address,newAddress,_GC_TYPE,_CLEANADDR,_X,_Y
동탄라마다호텔점,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,경기도 화성시 노작로 199 동탄라마다호텔107호~111호,정,경기도 화성시 노작로 199 (반송동),127.0746789240899,37.20583964492728
분당서현점,"경기도 성남시 분당구 분당로53번길 11 1층2,3호","경기도 성남시 분당구 분당로53번길 11 1층2,3호",정,경기도 성남시 분당구 분당로53번길 11 (서현동),127.12155207247231,37.3840685472974
여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층,서울특별시 영등포구 여의서로 43 한서리버파크2층,정,서울특별시 영등포구 여의서로 43 (여의도동),126.9249207678098,37.53070615932066
분당플라자점,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층,정,경기도 성남시 분당구 황새울로 326 (서현동),127.12186627386548,37.38512934035877
대전탄방동점,대전시 서구 문정로76 1층,대전광역시 서구 문정로76 1층,정,대전광역시 서구 문정로 76 (탄방동),127.38769114878912,36.34641499090165
무교점,"서울시 중구 태평로1 84호 SFC빌딩B1,1-4","서울특별시 중구 태평로1 84호 SFC빌딩B1,1-4",대,서울특별시 중구,126.99298333010267,37.557866613822455
분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,정,경기도 성남시 분당구 황새울로214번길 8 (수내동),127.11232568039814,37.378120513404845
청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호","충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",정,충청북도 청주시 흥덕구 대농로 17 (복대동),127.42418681661911,36.64526786443392
인사점,서울시 종로구 낙원동 272 오라카이스위츠 1층,서울특별시 종로구 낙원동 272 오라카이스위츠 1층,정,서울특별시 종로구 낙원동 272,126.98734264140431,37.57304647036884
분당차병원점,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)","경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",정,경기도 성남시 분당구 야탑로65번길 16 (야탑동),127.12636027132253,37.41101048091089
창원상남동점,경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,경상남도 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호,정,경상남도 창원시 성산구 중앙대로 104 (상남동),128.68093017235503,35.22347323533693
남대문점,서울시 중구 후암로110 581호 서울시티타워1층,서울특별시 중구 후암로110 581호 서울시티타워1층,정,서울특별시 중구 후암로 110 (남대문로5가),126.97405633740533,37.5543203646631
